Session_id,Start_time,Peak_viewers,Gifts_from_viewers,Number_of_products,Number_of_goods_sold,Total_sales_amount,Duration,Views,Average_number_of_online_viewers,Number_of_likes,Number_of_new_followers,Fan Conversion Ratio,Number_of_new_fans,Per_customer_transaction,UV,Sales_conversion_value_ratio,Average_length_of_stay,Name,Host_category,Occupation,Date
1,8/31/21 11:53,15042,19843,105,140796,11674555.88,13hours46minutes38seconds,4146340,7770,3376463,6231,0.15%,316,82.92,2.82,3.40%,1minutes35seconds,Luo Yonghao,C,Entrepreneur,8/31/21
2,8/30/21 11:49,13639,12125,107,66585,11909904.22,14hours51minutes31seconds,3911049,6566,2033428,4875,0.12%,217,178.87,3.05,1.70%,1minutes31seconds,Luo Yonghao,C,Entrepreneur,8/30/21
3,8/29/21 11:49,24133,27657,104,109985,12055690.37,14hours15minutes44seconds,5506928,9776,3175805,10854,0.20%,4033,109.61,2.19,2.00%,1minutes36seconds,Luo Yonghao,C,Entrepreneur,8/29/21
4,8/28/21 11:50,27482,37051,89,96721,14489985.47,14hours11minutes52seconds,5194916,9552,1669821,9319,0.18%,1881,149.81,2.79,1.86%,1minutes41seconds,Luo Yonghao,C,Entrepreneur,8/28/21
5,8/27/21 11:51,17296,15501,95,98727,11282694.12,14hours11minutes50seconds,4421344,7920,2559625,5856,0.13%,239,114.28,2.55,2.23%,1minutes34seconds,Luo Yonghao,C,Entrepreneur,8/27/21
6,8/26/21 11:49,13674,26106,118,117841,11990389.46,14hours21minutes52seconds,3999663,7236,2327451,5115,0.13%,1718,101.75,3,2.95%,1minutes36seconds,Luo Yonghao,C,Entrepreneur,8/26/21
7,8/25/21 12:00,35163,35461,115,71153,14967719.56,13hours45minutes11seconds,5125876,10255,5579201,9998,0.20%,3875,210.36,2.92,1.39%,1minutes43seconds,Luo Yonghao,C,Entrepreneur,8/25/21
8,8/25/21 11:48,0,0, , , ,10minutes26seconds,0,0,0,0,0.00%,0, ,0, ,,Luo Yonghao,C,Entrepreneur,8/25/21
9,8/24/21 11:53,21898,38878,111,95840,18118038.98,13hours56minutes57seconds,5240795,10141,4057198,19374,0.37%,5686,189.04,3.46,1.83%,1minutes38seconds,Luo Yonghao,C,Entrepreneur,8/24/21
10,8/23/21 11:48,13425,0,88,57331,9996629.98,14hours12minutes34seconds,3796921,7436,1456376,6926,0.18%,405,174.37,2.63,1.51%,1minutes40seconds,Luo Yonghao,C,Entrepreneur,8/23/21
11,8/22/21 11:50,16166,11672,67,92534,10114813.25,14hours18minutes22seconds,4521018,8457,1298051,5177,0.11%,266,109.31,2.24,2.05%,1minutes36seconds,Luo Yonghao,C,Entrepreneur,8/22/21
12,8/21/21 11:49,30630,22663,86,141921,13086811.83,14hours26minutes45seconds,5001462,10286,934611,9451,0.19%,835,92.21,2.62,2.84%,1minutes36seconds,Luo Yonghao,C,Entrepreneur,8/21/21
13,8/20/21 11:50,32562,29124,75,108963,11357513.79,14hours40minutes57seconds,4547512,8952,962611,9704,0.21%,2055,104.23,2.5,2.40%,1minutes44seconds,Luo Yonghao,C,Entrepreneur,8/20/21
14,8/19/21 11:48,10302,12255,106,96080,8163224.59,14hours18minutes30seconds,2998857,6079,814597,3317,0.11%,152,84.96,2.72,3.20%,1minutes32seconds,Luo Yonghao,C,Entrepreneur,8/19/21
15,8/18/21 11:49,53983,5983696,139,231382,133484084.7,14hours24minutes34seconds,8258805,18032,2704247,36540,0.44%,16094,576.9,16.24,2.80%,1minutes53seconds,Luo Yonghao,C,Entrepreneur,8/18/21
16,8/17/21 11:50,21399,27575,111,77934,9248653.12,14hours22minutes38seconds,4104480,7734,1683744,6862,0.17%,4159,118.67,2.25,1.90%,1minutes37seconds,Luo Yonghao,C,Entrepreneur,8/17/21
17,8/16/21 11:46,11952,19808,91,69368,9690188.58,14hours33minutes26seconds,3498472,6393,1510166,4435,0.13%,1788,139.69,2.77,1.98%,1minutes35seconds,Luo Yonghao,C,Entrepreneur,8/16/21
18,8/15/21 11:49,20842,45245,84,104053,15441337.2,14hours14minutes33seconds,5011760,9550,2079630,12339,0.25%,1351,148.4,3.08,2.08%,1minutes37seconds,Luo Yonghao,C,Entrepreneur,8/15/21
19,8/14/21 11:52,30508,104119,84,89947,12809018.17,14hours7minutes49seconds,4987651,10017,1539335,9807,0.20%,1362,142.41,2.57,1.80%,1minutes42seconds,Luo Yonghao,C,Entrepreneur,8/14/21
20,8/14/21 11:51,0,0, , , ,1minutes45seconds,0,0,0,0,0.00%,0, ,0, ,,Luo Yonghao,C,Entrepreneur,8/14/21
21,8/13/21 11:50,31959,87909,89,118808,12814573.13,14hours24minutes57seconds,5937410,11439,2527194,12436,0.21%,2769,107.86,2.16,2.00%,1minutes40seconds,Luo Yonghao,C,Entrepreneur,8/13/21
22,8/13/21 11:50,0,0, , , ,11seconds,0,0,0,0,0.00%,0, ,0, ,,Luo Yonghao,C,Entrepreneur,8/13/21
23,8/12/21 11:49,18593,46527,206,184585,13627226.86,14hours16minutes9seconds,4568122,8503,2611779,9176,0.20%,6042,73.83,2.98,4.04%,1minutes35seconds,Luo Yonghao,C,Entrepreneur,8/12/21
24,8/11/21 11:48,14393,42377,121,67916,13846220.03,14hours30minutes27seconds,4380552,7546,1052356,6220,0.14%,2164,203.87,3.16,1.55%,1minutes30seconds,Luo Yonghao,C,Entrepreneur,8/11/21
25,8/10/21 11:53,16711,44920,98,121820,12097910.71,14hours15minutes12seconds,4831190,8763,2110082,7645,0.16%,2866,99.31,2.51,2.52%,1minutes33seconds,Luo Yonghao,C,Entrepreneur,8/10/21
26,8/9/21 11:51,22968,55598,89,81913,11300390.34,14hours26minutes57seconds,4792943,8872,1790911,7704,0.16%,2373,137.96,2.36,1.71%,1minutes37seconds,Luo Yonghao,C,Entrepreneur,8/9/21
27,8/9/21 11:49,0,0, , , ,1minutes43seconds,0,0,0,0,0.00%,0, ,0, ,,Luo Yonghao,C,Entrepreneur,8/9/21
28,8/8/21 11:49,65179,137095,143,338362,99419736.53,14hours52minutes20seconds,11222329,22558,1326838,45527,0.41%,1970,293.83,8.86,3.02%,1minutes48seconds,Luo Yonghao,C,Entrepreneur,8/8/21
29,8/7/21 11:51,202139,111278,72,129762,20564467.17,14hours18minutes27seconds,16714594,33907,2749080,69325,0.41%,3372,158.48,1.23,0.78%,1minutes44seconds,Luo Yonghao,C,Entrepreneur,8/7/21
30,8/7/21 11:50,0,0, , , ,24seconds,0,0,0,0,0.00%,0, ,0, ,,Luo Yonghao,C,Entrepreneur,8/7/21
31,8/7/21 11:49,0,0, , , ,42seconds,0,0,0,0,0.00%,0, ,0, ,,Luo Yonghao,C,Entrepreneur,8/7/21
32,8/6/21 11:58,23899,51058,69,103106,12758454.06,14hours1minutes10seconds,5083529,9741,975254,8735,0.17%,505,123.74,2.51,2.03%,1minutes36seconds,Luo Yonghao,C,Entrepreneur,8/6/21
33,8/6/21 11:56,3,0,2,0,0,10seconds,3,0,0,0,0.00%,0, ,0, ,,Luo Yonghao,C,Entrepreneur,8/6/21
34,8/5/21 11:50,14585,23479,100,154619,8725000.14,14hours31minutes57seconds,3810339,6772,746502,4364,0.11%,981,56.43,2.29,4.06%,1minutes32seconds,Luo Yonghao,C,Entrepreneur,8/5/21
35,8/4/21 11:47,11846,22353,75,78412,10745347.07,14hours6minutes14seconds,4029860,6917,318248,5821,0.14%,251,137.04,2.67,1.95%,1minutes27seconds,Luo Yonghao,C,Entrepreneur,8/4/21
36,8/3/21 11:55,14075,30648,75,76292,7065560.9,14hours24minutes6seconds,3636779,6251,403468,3064,0.08%,224,92.61,1.94,2.10%,1minutes30seconds,Luo Yonghao,C,Entrepreneur,8/3/21
37,8/2/21 11:53,11654,18785,82,65779,8787344.08,14hours12minutes,3589048,6187,377696,4063,0.11%,174,133.59,2.45,1.83%,1minutes28seconds,Luo Yonghao,C,Entrepreneur,8/2/21
38,8/1/21 11:49,21979,33259,68,143784,13184918.21,14hours28minutes54seconds,4824914,8922,714028,10112,0.21%,754,91.7,2.73,2.98%,1minutes35seconds,Luo Yonghao,C,Entrepreneur,8/1/21
39,7/31/21 11:51,24424,53190,72,152112,10641770.96,14hours8minutes47seconds,4334340,8351,762924,8904,0.21%,299,69.96,2.46,3.51%,1minutes38seconds,Luo Yonghao,C,Entrepreneur,7/31/21
40,7/31/21 1:09,3641,36450,68,58738,7505213.01,47minutes59seconds,2927168,2720,447105,6865,0.23%,0,127.77,2.57,2.01%,2seconds,Luo Yonghao,C,Entrepreneur,7/31/21
41,7/30/21 11:50,12837,5690,68,50027,4996814.59,6hours54minutes3seconds,1778838,6123,235076,3170,0.18%,21,99.88,2.81,2.81%,1minutes25seconds,Luo Yonghao,C,Entrepreneur,7/30/21
42,7/29/21 11:52,14995,13541,78,73903,9198260.53,14hours8minutes14seconds,3759245,6542,361071,4325,0.12%,222,124.46,2.45,1.97%,1minutes33seconds,Luo Yonghao,C,Entrepreneur,7/29/21
43,7/28/21 11:51,18934,16698,71,108034,7688938.56,14hours45minutes11seconds,3567549,6206,1357624,4981,0.14%,421,71.17,2.16,3.03%,1minutes32seconds,Luo Yonghao,C,Entrepreneur,7/28/21
44,7/27/21 11:48,12489,12676,88,82400,13725488.89,14hours11minutes21seconds,3654205,6570,308204,5384,0.15%,180,166.57,3.76,2.25%,1minutes31seconds,Luo Yonghao,C,Entrepreneur,7/27/21
45,7/26/21 11:51,16128,24053,88,81692,11204747.55,14hours8minutes36seconds,4435224,7861,711219,7655,0.17%,370,137.16,2.53,1.84%,1minutes30seconds,Luo Yonghao,C,Entrepreneur,7/26/21
46,7/25/21 18:39,21443,12166,62,58888,6653180.11,6hours44minutes17seconds,3044644,11189,1116911,4858,0.16%,116,112.98,2.19,1.93%,1minutes29seconds,Luo Yonghao,C,Entrepreneur,7/25/21
47,7/25/21 11:50,16862,8886,63,39052,4059734.69,6hours20minutes57seconds,2329747,8451,323420,3019,0.13%,118,103.96,1.74,1.68%,1minutes23seconds,Luo Yonghao,C,Entrepreneur,7/25/21
48,7/24/21 11:50,40833,38576,73,86160,9097893.07,14hours16minutes22seconds,6545119,10390,1374907,10754,0.16%,3277,105.59,1.39,1.32%,1minutes21seconds,Luo Yonghao,C,Entrepreneur,7/24/21
49,7/23/21 18:40,24977,34208,61,109297,10127749.13,7hours17minutes18seconds,3865418,13381,660457,8924,0.23%,307,92.66,2.62,2.83%,1minutes31seconds,Luo Yonghao,C,Entrepreneur,7/23/21
50,7/23/21 11:49,9747,9286,58,40524,3443085.51,6hours19minutes30seconds,1627933,6268,595360,3304,0.20%,680,84.96,2.12,2.49%,1minutes27seconds,Luo Yonghao,C,Entrepreneur,7/23/21
51,7/22/21 11:50,15768,27193,82,97230,10000793.25,14hours28minutes56seconds,4034471,7707,1356826,8688,0.22%,2162,102.86,2.48,2.41%,1minutes38seconds,Luo Yonghao,C,Entrepreneur,7/22/21
52,7/21/21 11:50,17047,30119,72,163895,7217131.53,14hours11minutes34seconds,4148655,7694,1222257,9059,0.22%,3984,44.04,1.74,3.95%,1minutes34seconds,Luo Yonghao,C,Entrepreneur,7/21/21
53,7/21/21 11:48,0,0, , , ,12seconds,0,0,0,0,0.00%,0, ,0, ,,Luo Yonghao,C,Entrepreneur,7/21/21
54,7/20/21 11:50,12755,14274,64,34986,12229754.13,13hours53minutes21seconds,3532888,6482,378085,4481,0.13%,296,349.56,3.46,0.99%,1minutes32seconds,Luo Yonghao,C,Entrepreneur,7/20/21
55,7/20/21 11:49,0,0, , , ,31seconds,0,0,0,0,0.00%,0, ,0, ,,Luo Yonghao,C,Entrepreneur,7/20/21
56,7/19/21 11:46,29375,26064,71,145585,8336954.31,14hours4minutes8seconds,4843405,9131,1099723,8895,0.18%,360,57.27,1.72,3.01%,1minutes35seconds,Luo Yonghao,C,Entrepreneur,7/19/21
57,7/19/21 11:45,0,0, , , ,48seconds,0,0,0,0,0.00%,0, ,0, ,,Luo Yonghao,C,Entrepreneur,7/19/21
58,7/18/21 11:45,18005,27456,63,113467,8238710.16,14hours12minutes11seconds,5196668,9159,1575682,7414,0.14%,395,72.61,1.59,2.18%,1minutes30seconds,Luo Yonghao,C,Entrepreneur,7/18/21
59,7/17/21 10:50,72905,58220,157,342310,101429017.6,14hours11minutes12seconds,9409126,20919,1930586,47235,0.50%,2002,296.31,10.78,3.64%,1minutes53seconds,Luo Yonghao,C,Entrepreneur,7/17/21
60,7/16/21 18:39,32616,195819,66,87674,10337450.15,6hours56minutes58seconds,3476411,14311,927455,7902,0.23%,292,117.91,2.98,2.52%,1minutes43seconds,Luo Yonghao,C,Entrepreneur,7/16/21
61,7/16/21 11:50,11183,6720,65,33802,2973051.08,6hours19minutes21seconds,1386230,5513,733618,1883,0.14%,106,87.95,2.15,2.44%,1minutes30seconds,Luo Yonghao,C,Entrepreneur,7/16/21
62,7/15/21 18:40,16082,10838,83,53028,9573575.52,7hours16minutes45seconds,2468473,8962,363476,3665,0.15%,99,180.54,3.88,2.15%,1minutes35seconds,Luo Yonghao,C,Entrepreneur,7/15/21
63,7/15/21 18:40,0,0, , , ,35seconds,0,0,0,0,0.00%,0, ,0, ,,Luo Yonghao,C,Entrepreneur,7/15/21
64,7/15/21 11:50,14152,7618,82,35570,5843546.14,6hours21minutes27seconds,1551673,6447,763042,2607,0.17%,102,164.28,3.77,2.29%,1minutes35seconds,Luo Yonghao,C,Entrepreneur,7/15/21
65,7/14/21 11:49,15141,21373,86,216663,10268890.05,13hours45minutes18seconds,4176424,8508,903045,6665,0.16%,711,47.4,2.46,5.19%,1minutes41seconds,Luo Yonghao,C,Entrepreneur,7/14/21
66,7/13/21 18:38,15636,10020,80,63953,5678832.13,7hours33minutes28seconds,2514267,9320,445874,3474,0.14%,157,88.8,2.26,2.54%,1minutes40seconds,Luo Yonghao,C,Entrepreneur,7/13/21
67,7/13/21 11:50,11275,9049,84,41169,3193822.14,6hours19minutes48seconds,1606151,6984,449536,2409,0.15%,138,77.58,1.99,2.56%,1minutes37seconds,Luo Yonghao,C,Entrepreneur,7/13/21
68,7/12/21 18:40,12407,12184,95,46948,4490112.15,7hours23minutes55seconds,2181275,7904,590159,2639,0.12%,147,95.64,2.06,2.15%,1minutes37seconds,Luo Yonghao,C,Entrepreneur,7/12/21
69,7/12/21 18:40,0,0,93,0,0,42seconds,0,0,0,0,0.00%,0, ,0, ,,Luo Yonghao,C,Entrepreneur,7/12/21
70,7/12/21 11:50,12662,10533,94,29203,2918213.84,6hours19minutes55seconds,1589560,6428,389707,2168,0.14%,126,99.93,1.84,1.84%,1minutes31seconds,Luo Yonghao,C,Entrepreneur,7/12/21
71,7/11/21 18:40,32563,25884,61,111844,11402267.68,6hours54minutes16seconds,3797597,15439,696652,11329,0.30%,468,101.95,3,2.95%,1minutes44seconds,Luo Yonghao,C,Entrepreneur,7/11/21
72,7/11/21 11:50,19976,20863,61,50250,5916823.87,6hours19minutes31seconds,2133745,8883,1043104,3435,0.16%,187,117.75,2.77,2.36%,1minutes35seconds,Luo Yonghao,C,Entrepreneur,7/11/21
73,7/10/21 18:42,30741,29911,59,76384,10354601.13,7hours20minutes44seconds,3941003,15186,550680,12761,0.32%,508,135.56,2.63,1.94%,1minutes42seconds,Luo Yonghao,C,Entrepreneur,7/10/21
74,7/10/21 18:40,0,0,3,0,0,2minutes7seconds,0,0,0,0,0.00%,0, ,0, ,,Luo Yonghao,C,Entrepreneur,7/10/21
75,7/10/21 11:56,12527,8332,61,38755,4725443.23,6hours12minutes33seconds,1986935,7706,346027,3756,0.19%,202,121.93,2.38,1.95%,1minutes27seconds,Luo Yonghao,C,Entrepreneur,7/10/21
76,7/10/21 11:48,0,0, , , ,8minutes6seconds,0,0,0,0,0.00%,0, ,0, ,,Luo Yonghao,C,Entrepreneur,7/10/21
77,7/10/21 11:19,0,0, , , ,9seconds,0,0,0,0,0.00%,0, ,0, ,,Luo Yonghao,C,Entrepreneur,7/10/21
78,7/9/21 18:39,30454,32725,58,115799,10890295.27,7hours36minutes34seconds,4157354,15189,663694,11290,0.27%,455,94.04,2.62,2.79%,1minutes40seconds,Luo Yonghao,C,Entrepreneur,7/9/21
79,7/9/21 11:49,11434,8685,56,48323,2967223.04,6hours20minutes17seconds,1589027,6103,567077,2320,0.15%,111,61.4,1.87,3.04%,1minutes27seconds,Luo Yonghao,C,Entrepreneur,7/9/21
80,7/8/21 11:49,27980,26365,133,96276,14078508.07,14hours8minutes41seconds,4769394,9288,1033878,11016,0.23%,447,146.23,2.95,2.02%,1minutes39seconds,Luo Yonghao,C,Entrepreneur,7/8/21
81,7/8/21 11:46,0,0, , , ,1minutes54seconds,0,0,0,0,0.00%,0, ,0, ,,Luo Yonghao,C,Entrepreneur,7/8/21
82,7/7/21 11:51,15512,121343,83,170345,9131720.59,14hours8minutes33seconds,3907216,7542,1153597,6194,0.16%,363,53.61,2.34,4.36%,1minutes38seconds,Luo Yonghao,C,Entrepreneur,7/7/21
83,7/7/21 11:50,0,0, , , ,52seconds,0,0,0,0,0.00%,0, ,0, ,,Luo Yonghao,C,Entrepreneur,7/7/21
84,7/6/21 18:50,19919,12074,74,48801,4286258.41,7hours11minutes53seconds,2108213,8044,619624,2317,0.11%,89,87.83,2.03,2.31%,1minutes38seconds,Luo Yonghao,C,Entrepreneur,7/6/21
85,7/6/21 11:51,9321,0,72,37136,2597082.79,6hours31minutes28seconds,1483461,5770,246125,1534,0.10%,96,69.93,1.75,2.50%,1minutes32seconds,Luo Yonghao,C,Entrepreneur,7/6/21
86,7/6/21 11:43,0,0, , , ,7minutes7seconds,0,0,0,0,0.00%,0, ,0, ,,Luo Yonghao,C,Entrepreneur,7/6/21
87,7/5/21 11:51,14342,18914,97,65841,6197040.36,14hours11minutes43seconds,3784286,6986,623581,3756,0.10%,217,94.12,1.64,1.74%,1minutes34seconds,Luo Yonghao,C,Entrepreneur,7/5/21
88,7/5/21 11:51,0,0, , , ,28seconds,0,0,0,0,0.00%,0, ,0, ,,Luo Yonghao,C,Entrepreneur,7/5/21
89,7/5/21 11:50,0,0, , , ,23seconds,0,0,0,0,0.00%,0, ,0, ,,Luo Yonghao,C,Entrepreneur,7/5/21
90,7/4/21 18:49,34769,33194,69,78974,6500680.19,7hours27minutes53seconds,3166836,12754,1518436,11746,0.37%,6186,82.31,2.05,2.49%,1minutes49seconds,Luo Yonghao,C,Entrepreneur,7/4/21
91,7/4/21 11:51,13091,16142,64,37274,3157896.63,6hours37minutes41seconds,1650878,7369,987808,4081,0.25%,3558,84.72,1.91,2.26%,1minutes46seconds,Luo Yonghao,C,Entrepreneur,7/4/21
92,7/4/21 11:51,0,0, , , ,37seconds,0,0,0,0,0.00%,0, ,0, ,,Luo Yonghao,C,Entrepreneur,7/4/21
93,7/4/21 11:49,0,0, , , ,1minutes38seconds,0,0,0,0,0.00%,0, ,0, ,,Luo Yonghao,C,Entrepreneur,7/4/21
94,7/3/21 18:55,24751,11062,89,77668,8599383.55,6hours58minutes45seconds,2635647,10931,403632,4009,0.15%,268,110.72,3.26,2.95%,1minutes45seconds,Luo Yonghao,C,Entrepreneur,7/3/21
95,7/3/21 18:49,0,0,64,0,0,6minutes32seconds,0,0,0,0,0.00%,0, ,0, ,,Luo Yonghao,C,Entrepreneur,7/3/21
96,7/3/21 13:17,19922,7075,89,43860,6021405.21,5hours6minutes32seconds,1605290,8461,178676,2040,0.13%,98,137.29,3.75,2.73%,1minutes38seconds,Luo Yonghao,C,Entrepreneur,7/3/21
97,7/3/21 13:15,0,0,16,0,0,2minutes7seconds,0,0,0,0,0.00%,0, ,0, ,,Luo Yonghao,C,Entrepreneur,7/3/21
98,7/3/21 11:48,5332,1890,72,4456,546792.68,1hours25minutes13seconds,157739,3079,204302,246,0.16%,30,122.71,3.47,2.82%,1minutes38seconds,Luo Yonghao,C,Entrepreneur,7/3/21
99,7/2/21 18:48,56216,38018,59,146744,8743755.04,7hours20minutes,4846617,20487,1103008,19774,0.41%,1192,59.59,1.8,3.03%,1minutes51seconds,Luo Yonghao,C,Entrepreneur,7/2/21
100,7/2/21 11:49,13628,11041,56,47139,2757511.53,6hours31minutes9seconds,1729077,6437,910102,2633,0.15%,147,58.5,1.6,2.73%,1minutes27seconds,Luo Yonghao,C,Entrepreneur,7/2/21
101,6/30/21 11:50,15768,17795,131,79042,17022280.75,13hours29minutes51seconds,4129259,8293,814245,7624,0.18%,1256,215.36,4.12,1.91%,1minutes37seconds,Luo Yonghao,C,Entrepreneur,6/30/21
102,6/29/21 11:50,12907,21646,87,109071,8453189.48,14hours22minutes43seconds,3986291,7623,1000928,4892,0.12%,500,77.5,2.12,2.74%,1minutes39seconds,Luo Yonghao,C,Entrepreneur,6/29/21
103,6/28/21 17:24,14119,12339,76,78389,6025137.17,8hours36minutes32seconds,3059096,9772,404979,2967,0.10%,387,76.86,1.97,2.56%,1minutes39seconds,Luo Yonghao,C,Entrepreneur,6/28/21
104,6/28/21 11:48,14906,10735,130,30006,2356397.01,5hours11minutes55seconds,1559262,7229,400814,1489,0.10%,59,78.53,1.51,1.92%,1minutes26seconds,Luo Yonghao,C,Entrepreneur,6/28/21
105,6/27/21 14:44,31315,37880,61,116445,10078681.72,10hours50minutes56seconds,4865461,13889,1381430,15747,0.32%,5956,86.55,2.07,2.39%,1minutes51seconds,Luo Yonghao,C,Entrepreneur,6/27/21
106,6/26/21 14:52,29561,88566,71,143060,9378482.78,11hours29minutes1seconds,4657228,13449,2720604,17612,0.38%,16523,65.56,2.02,3.07%,1minutes59seconds,Luo Yonghao,C,Entrepreneur,6/26/21
107,6/25/21 14:45,27059,49928,52,136653,11636513.04,10hours47minutes18seconds,4518157,13562,2274696,18112,0.40%,13202,85.15,2.58,3.02%,1minutes56seconds,Luo Yonghao,C,Entrepreneur,6/25/21
108,6/24/21 14:51,18197,39885,73,124852,10028679.78,11hours44minutes22seconds,3967406,9816,1291083,10885,0.27%,5509,80.32,2.53,3.15%,1minutes44seconds,Luo Yonghao,C,Entrepreneur,6/24/21
109,6/23/21 14:50,15752,31205,64,152879,9003788.62,11hours40minutes36seconds,3770519,9758,1347769,9395,0.25%,6623,58.89,2.39,4.05%,1minutes48seconds,Luo Yonghao,C,Entrepreneur,6/23/21
110,6/22/21 16:50,22219,30978,70,108552,5667643.59,8hours57minutes36seconds,3150816,11135,1672425,8359,0.27%,6579,52.21,1.8,3.45%,1minutes54seconds,Luo Yonghao,C,Entrepreneur,6/22/21
111,6/21/21 16:50,16494,28660,88,74223,6011564.03,9hours8minutes31seconds,3212123,10702,1083110,7646,0.24%,5733,80.99,1.87,2.31%,1minutes49seconds,Luo Yonghao,C,Entrepreneur,6/21/21
112,6/20/21 16:49,34300,45276,62,84498,9082578.43,9hours11minutes33seconds,4784656,14884,2520310,15823,0.33%,13564,107.49,1.9,1.77%,1minutes44seconds,Luo Yonghao,C,Entrepreneur,6/20/21
113,6/20/21 16:44,0,0, , , ,4minutes28seconds,0,0,0,0,0.00%,0, ,0, ,,Luo Yonghao,C,Entrepreneur,6/20/21
114,6/19/21 16:51,39747,82978,63,133080,10567340.39,8hours9minutes51seconds,4960043,18879,2884089,23503,0.47%,25491,79.41,2.13,2.68%,1minutes52seconds,Luo Yonghao,C,Entrepreneur,6/19/21
115,6/19/21 16:46,0,0,19,0,0,5minutes23seconds,0,0,0,0,0.00%,0, ,0, ,,Luo Yonghao,C,Entrepreneur,6/19/21
116,6/18/21 16:45,41225,72630,63,193058,13749943.74,8hours40minutes8seconds,5550369,20255,2231311,18506,0.33%,15941,71.22,2.48,3.48%,1minutes54seconds,Luo Yonghao,C,Entrepreneur,6/18/21
117,6/17/21 14:50,18901,36870,84,96133,10135141.69,10hours41minutes10seconds,3794120,10476,1341468,8603,0.23%,5863,105.43,2.67,2.53%,1minutes46seconds,Luo Yonghao,C,Entrepreneur,6/17/21
118,6/16/21 13:46,52486,121727,172,260177,30572180.12,11hours42minutes23seconds,7145952,23209,4681542,39848,0.56%,28905,117.51,4.28,3.64%,2minutes16seconds,Luo Yonghao,C,Entrepreneur,6/16/21
119,6/15/21 16:51,18911,39662,75,106405,7670185.05,8hours50minutes15seconds,3068757,10571,1016835,7320,0.24%,5524,72.08,2.5,3.47%,1minutes49seconds,Luo Yonghao,C,Entrepreneur,6/15/21
120,6/14/21 16:52,17942,30418,63,107118,6139395.2,8hours42minutes48seconds,3213685,11306,1494529,6737,0.21%,3936,57.31,1.91,3.33%,1minutes50seconds,Luo Yonghao,C,Entrepreneur,6/14/21
121,6/13/21 16:45,37259,74878,58,191745,13000235.59,8hours42minutes19seconds,4499542,17043,2636658,24508,0.54%,20232,67.8,2.89,4.26%,1minutes58seconds,Luo Yonghao,C,Entrepreneur,6/13/21
122,6/12/21 16:49,30309,66127,75,113241,14232273.13,8hours45minutes15seconds,4101866,16119,1860455,13190,0.32%,11586,125.68,3.47,2.76%,2minutes4seconds,Luo Yonghao,C,Entrepreneur,6/12/21
123,6/11/21 16:52,39526,79029,53,98530,13217239.16,8hours16minutes48seconds,4553618,18623,2627288,18340,0.40%,19293,134.14,2.9,2.16%,2minutes2seconds,Luo Yonghao,C,Entrepreneur,6/11/21
124,6/10/21 16:52,20084,30163,65,104375,7020164.45,8hours48minutes2seconds,3118334,10766,1130572,7315,0.23%,4729,67.26,2.25,3.35%,1minutes49seconds,Luo Yonghao,C,Entrepreneur,6/10/21
125,6/9/21 16:53,16156,25665,70,107799,8613431.09,8hours39minutes18seconds,3153958,10210,1117627,6030,0.19%,3819,79.9,2.73,3.42%,1minutes48seconds,Luo Yonghao,C,Entrepreneur,6/9/21
126,6/8/21 16:49,17940,25951,66,104219,10492642.72,8hours37minutes53seconds,3368139,11350,1107838,7016,0.21%,5463,100.68,3.12,3.09%,1minutes45seconds,Luo Yonghao,C,Entrepreneur,6/8/21
127,6/7/21 16:50,19549,25007,58,121423,7841079.49,8hours58minutes25seconds,3378485,11095,1150007,6527,0.19%,4278,64.58,2.32,3.59%,1minutes45seconds,Luo Yonghao,C,Entrepreneur,6/7/21
128,6/6/21 16:44,26624,40682,58,110695,11270283.45,8hours51minutes52seconds,4784010,16774,1958992,12009,0.25%,7968,101.81,2.36,2.31%,1minutes51seconds,Luo Yonghao,C,Entrepreneur,6/6/21
129,6/5/21 15:46,41036,91208,85,231960,26649363.82,10hours41minutes5seconds,6196985,21160,2924343,27908,0.45%,14666,114.89,4.3,3.74%,2minutes11seconds,Luo Yonghao,C,Entrepreneur,6/5/21
130,6/4/21 16:47,40844,60026,49,146618,11090409.07,8hours45minutes21seconds,5213403,18496,2579559,21822,0.42%,13983,75.64,2.13,2.81%,1minutes55seconds,Luo Yonghao,C,Entrepreneur,6/4/21
131,6/3/21 16:51,17783,142124,72,86672,6700915.85,8hours47minutes59seconds,3020112,10652,1710645,6162,0.20%,4248,77.31,2.22,2.87%,1minutes52seconds,Luo Yonghao,C,Entrepreneur,6/3/21
132,6/2/21 16:51,16992,31071,72,181916,9110299.94,9hours18minutes47seconds,3175601,10461,1175374,7702,0.24%,3961,50.08,2.87,5.73%,1minutes55seconds,Luo Yonghao,C,Entrepreneur,6/2/21
133,6/1/21 16:51,26223,31520,67,115502,5872577.48,9hours11minutes28seconds,2948858,9289,2826285,6895,0.23%,3993,50.84,1.99,3.92%,1minutes48seconds,Luo Yonghao,C,Entrepreneur,6/1/21
134,8/30/21 19:15,11966,8919,38,18303,4563964.1,4hours46minutes49seconds,1195223,7337,555824,3104,0.26%,577,249.36,3.82,1.53%,1minutes48seconds,Liu Yuanyuan,K,Television Presenter,8/30/21
135,8/30/21 12:32,24064,8123,40,37520,7967701.81,4hours26minutes29seconds,1252976,9950,1389796,5175,0.41%,1083,212.36,6.36,2.99%,2minutes9seconds,Liu Yuanyuan,K,Television Presenter,8/30/21
