Video_content,Release_time,The_video_duration,Estimated_Sales_volume_(pieces),Estimated_sales_amount,Number_of_likes,Number_of_comments,Number_of_reposts,Name
今天也是甜甜的，老公送的一件小香#韩系穿搭 #高级感穿搭 #每日穿搭 #小香风 #游鹿鹿,07-24 13:41:43,10秒,--,--,46496,1174,1803,Lovemimius
格子控就是我！#韩系穿搭 #高级感穿搭 #小个子显高显瘦穿搭 #游鹿鹿,07-24 10:56:57,13秒,--,--,3355,314,182,Lovemimius
最近迷恋的银河灰 很高级的色系#高级感穿搭 #韩系穿搭 #每日穿搭 #游鹿鹿,07-24 07:27:56,12秒,--,--,21558,735,755,Lovemimius
温柔的女孩子应该都爱这种米白色的调调吧#高级感穿搭 #韩系穿搭 #游鹿鹿,07-23 18:05:34,16秒,--,--,20782,1284,1049,Lovemimius
一个爱买花的老公#花与生活 #仪式感不能少 #游鹿鹿 又是甜甜的一天啊,07-22 20:00:54,10秒,--,--,11870,375,237,Lovemimius
今天是想大家的一天#高级感穿搭 #韩系穿搭 #每日穿搭 #游鹿鹿,07-22 12:23:23,18秒,--,--,8724,843,398,Lovemimius
日常生活休闲的我也很爱穿！#高级感穿搭 #韩系穿搭 #每日穿搭 #游鹿鹿,07-21 11:01:28,8秒,--,--,8329,304,90,Lovemimius
少女心不管年纪！我就是要永远都可可爱爱的#探店 #高级感穿搭 #韩系穿搭 #游鹿鹿,07-21 10:29:45,9秒,--,--,6529,122,102,Lovemimius
三伏天就是想把秋装拿出来#高级感穿搭 #游鹿鹿 #小个子显高显瘦穿搭,07-21 08:46:43,20秒,--,--,12838,788,1037,Lovemimius
被好几个店员追着问店址，我也是怪害羞的#高级感穿搭 #小个子显高显瘦穿搭 #黑色系穿搭 #游鹿鹿,07-21 07:05:16,10秒,--,--,11206,675,420,Lovemimius
今年秋冬主流的高级灰 太可了！#高级感穿搭 #韩系穿搭 #探店 #游鹿鹿 #小个子显高显瘦穿搭,07-20 18:08:27,12秒,--,--,44504,1891,1808,Lovemimius
我们21号不见不散啦！奔走相告#高级感穿搭 #韩系穿搭 #小个子显高显瘦穿搭 #游鹿鹿,07-19 20:07:58,12秒,--,--,9384,741,413,Lovemimius
最近运动员有点多，是来参加亚运会吧,07-18 13:59:09,29秒,--,--,12938,1097,547,Lovemimius
本来计划只能出三千件，好像现在超过六千了 排单难啊#韩系穿搭 #高级感穿搭 #游鹿鹿,07-18 10:17:26,16秒,--,--,29960,1461,1876,Lovemimius
