Video_content,Release_time,The_video_duration,Estimated_Sales_volume_(pieces),Estimated_sales_amount,Number_of_likes,Number_of_comments,Number_of_reposts,Name
注意!!! 交个朋友直播间将于 9 月 2 日零点起，开启 7 x 24小时直播带货！届时我们全天候都是营业状态，大家随时来随时买！#亚特兰蒂斯的秘密,08-31 21:32:22,21秒,--,--,33439,2026,1557,Luo Yonghao
罗老师直播间的神秘书法大公开!!!,08-29 19:47:23,33秒,--,--,33730,592,318,Luo Yonghao
想拥有一个快乐的周末，你需要有… #好物联播  #shotoniphone,08-28 15:46:52,15秒,--,--,31641,750,1032,Luo Yonghao
交个朋友直播间美食专场，带你品味#人间烟火 #人间烟火定格照,08-26 16:07:03,10秒,--,--,31984,1271,1338,Luo Yonghao
电竞解说的手速果然名不虚传，这波操作什么水平？,08-25 18:36:21,28秒,--,--,35021,892,1111,Luo Yonghao
我的房车生活之辅助驾驶篇。,08-24 16:42:51,58秒,--,--,43717,1581,1623,Luo Yonghao
我的房车生活之锁车篇。,08-23 16:57:07,52秒,--,--,17220,762,795,Luo Yonghao
我的房车生活之“限高”篇。,08-23 14:43:56,53秒,--,--,16205,738,759,Luo Yonghao
就这样看着你，看着你,08-22 15:29:11,9秒,--,--,87894,2512,2815,Luo Yonghao
一个中年网红为了不被时代“抛弃”究竟能做出什么？,08-21 20:57:43,19秒,--,--,130202,1839,4967,Luo Yonghao
一个带货的直播间突然转变画风…,08-20 21:45:19,27秒,--,--,7500,291,185,Luo Yonghao
直播间没有上菜品 可能是因为后厨...#工作日常 #搞笑,08-20 17:20:26,1分8秒,--,--,28045,897,812,Luo Yonghao
约女生一起吃饭的正确打开方式 #我能请你吃个饭吗,08-15 14:47:06,14秒,--,--,26407,644,1081,Luo Yonghao
听到她被人照顾得很好，我就放心了…@认养一头牛官方旗舰店【奶牛养得好，牛奶才会好】,08-12 15:00:08,1分35秒,--,--,425665,6011,9830,Luo Yonghao
即使工作再忙、再累、再掉头发…能“躺一小会儿”也应该是每个奋斗者都能享受的权利。?? @上汽大通MAXUS,08-10 18:07:55,1分24秒,--,--,52933,2971,3398,Luo Yonghao
交个朋友的(部分)主播们一次难得的同框 #抖音818新潮好物节,08-09 16:01:27,40秒,--,--,57154,3222,1107,Luo Yonghao
交个朋友直播间，全是好东西便宜到飞起！#抖音818新潮好物节,08-08 18:33:48,17秒,--,--,38975,933,856,Luo Yonghao
老罗面对流星进行了一次曲折的许愿… #抖音818新潮好物节,08-08 17:31:02,21秒,--,--,67612,1004,1569,Luo Yonghao
张国伟对老罗以不变应万变 #张国伟只会说对对对的捧哏 #抖音818新潮好物节 #老罗说啥张国伟都说对对对对,08-08 12:13:50,24秒,--,--,30465,1113,1801,Luo Yonghao
已知@张国伟_国家伟大身高两米，求罗老师多高？#抖音818新潮好物节  #张国伟去罗永浩直播间反客为主,08-07 21:22:22,24秒,--,--,281845,3562,2410,Luo Yonghao
谨以此书送给诺?尔物理学奖未获得者@张国伟_国家伟大 #抖音818新潮好物节,08-07 10:00:00,18秒,--,--,151809,2406,1781,Luo Yonghao
全网征集私人健身教练，求推荐！ #罗永浩全网征集冠军教练  #抖音818新潮好物节,08-06 10:00:00,38秒,--,--,144782,11643,5070,Luo Yonghao
交个朋友直播间美食专场，便宜到哭！#美食,08-05 15:07:40,26秒,--,--,26700,2359,1538,Luo Yonghao
张国伟来老罗直播间了？直播间人均喜剧人，「冠军」品质好货5折起！ #抖音818新潮好物节,08-04 21:28:21,27秒,--,--,6291,245,95,Luo Yonghao
老罗健身教练是张国伟？张罗组合营业中，快来围观！超多红包，品质好物等你来！ #抖音818新潮好物节,08-04 21:20:55,36秒,--,--,3233,115,57,Luo Yonghao
关于可乐，你可以懂的不多，但是今晚直播间的无糖可乐一定要记得来抢！,08-03 14:23:42,22秒,--,--,47006,4060,3332,Luo Yonghao
路上偶遇一位直播间的小迷弟……一定要看到最后！,08-02 19:54:46,31秒,--,--,16636,609,481,Luo Yonghao
帅，只是我们男主播的常规操作…,07-31 20:22:03,17秒,--,--,31994,1592,1039,Luo Yonghao
交个朋友直播间夏日家电专场，等你来看！,07-29 14:36:02,24秒,--,--,43625,2706,2402,Luo Yonghao
帅哥洗车技术哪家强，来交个朋友直播间找龚晨。,07-25 16:09:32,24秒,--,--,37397,1930,2624,Luo Yonghao
交个朋友主播才艺展示之袋鼠摇手 #袋鼠摇手太魔性了 #袋鼠摇手,07-24 18:53:22,6秒,--,--,29023,652,1287,Luo Yonghao
感谢润微品牌对灾区的支持，更感谢在前线的志愿者们和救援人员，辛苦了！为你们加油！,07-23 22:13:56,31秒,--,--,26342,760,417,Luo Yonghao
据说这是颜控看直播带货时的状态，说的是你吗？ #颜控 #山东话,07-23 15:30:01,15秒,--,--,33093,1254,564,Luo Yonghao
抖音电商出品的纪录片《向新力》上映了，“国民级”购物节#抖音818新潮好物节 即将开启！#向新力 @电商小助手,07-23 14:30:01,1分6秒,--,--,44064,871,897,Luo Yonghao
女主播的大型社死现场… #社死现场,07-21 15:51:32,16秒,--,--,71169,1319,942,Luo Yonghao
“作为一个胖子，兄弟我认为，锂电池被发明后，最伟大的发明就是这个。”,07-20 14:19:33,22秒,--,--,12907,310,361,Luo Yonghao
假如喝酒有段位，你是青铜还是王者？,07-17 16:15:38,46秒,--,--,19066,819,1611,Luo Yonghao
一个70后中年人被娱乐圈的相似人名弄懵了,07-11 19:00:11,14秒,--,--,57904,1330,407,Luo Yonghao
来自老罗的五折召唤！  #3d压迫感大片 #这上头的压迫感,07-09 17:08:55,16秒,--,--,113832,2821,4137,Luo Yonghao
从小迷之信心能赚大钱的罗永浩，欠债之后心态发生了什么变化？#我的青铜时代,07-06 16:56:27,2分17秒,--,--,157399,4806,5862,Luo Yonghao
各路吃货朋友千万别错过，快来交个朋友直播间食品酒水专场！,07-03 20:38:57,29秒,--,--,50874,1465,1164,Luo Yonghao
来不及了，交个朋友直播间从今天起十二点就开播，快来抢购！,06-28 11:37:20,16秒,--,--,76529,3249,1645,Luo Yonghao
罗老师墙裂推荐的“什么马”毛巾究竟有什么过人之处？,06-27 22:52:03,24秒,--,--,7058,147,187,Luo Yonghao
自打吃播问世以来，如此“上境界”的吃播还是第一次见。,06-26 22:59:49,26秒,--,--,10666,273,159,Luo Yonghao
最近可乐在欧洲遭受了一些不公正的待遇，对此我必须说两句了。 #c罗 #c罗拒绝与可乐同框,06-26 22:17:06,23秒,--,--,33415,981,311,Luo Yonghao
【直播间整活儿现场】之高尔夫球飞得不是那么利索,06-26 22:02:03,17秒,--,--,29738,408,256,Luo Yonghao
外国人到中国生活，入乡随俗的第一课。,06-26 15:50:45,24秒,--,--,5787,92,97,Luo Yonghao
【直播间整活儿现场】之铁锅炖大呐(鹅)!!!,06-25 22:24:47,30秒,--,--,29662,620,241,Luo Yonghao
就是现在，交个朋友直播间周五五折专场，最高不超过 5.9 折，最低低至 2 折！,06-25 16:00:17,20秒,--,--,4119,81,81,Luo Yonghao
干饭人罗永浩一个加餐的功夫，公司就发生了这么大的事儿…,06-25 14:54:49,21秒,--,--,18141,543,364,Luo Yonghao
为什么有的样品会神秘消失？,06-23 16:06:56,15秒,--,--,31711,376,178,Luo Yonghao
《小罗进城记》 #今天吃什么,06-22 21:06:08,22秒,--,--,35867,462,117,Luo Yonghao
罗永浩和@大张伟 拌嘴，竟然有“老两口”的感觉？#谁是宝藏歌手,06-21 17:23:18,25秒,--,--,28104,351,116,Luo Yonghao
【蛤蜊】这个词在你们那里怎么读？,06-19 21:13:02,24秒,--,--,17890,922,214,Luo Yonghao
春夏在户外约会，最重要的竟是Ta…,06-19 16:46:34,27秒,--,--,50791,2924,2147,Luo Yonghao
优秀的员工能理解老板的一个眼神、一个手势，甚至是…#职场,06-18 18:09:09,21秒,--,--,130012,2477,886,Luo Yonghao
什么样的产品，让罗老师用一次就哭了？,06-16 19:00:20,43秒,--,--,20559,1315,966,Luo Yonghao
当员工违反公司规定时，做领导的一定要对此严肃处理。,06-16 12:01:08,52秒,--,--,105729,2569,1602,Luo Yonghao
交个朋友直播间是如何兼顾超低折扣和顾客的刁钻要求的？,06-12 21:25:39,24秒,--,--,47416,1650,552,Luo Yonghao
如何用一句话激怒你妈？,06-12 17:13:41,23秒,--,--,12235,234,121,Luo Yonghao
过年会开香槟乱喷一通？过生日用蛋糕乱抹一通？罗老师有话要说！,06-11 21:42:37,18秒,--,--,6161,135,79,Luo Yonghao
在关键问题上，优秀的员工只需要老板一个动作就能领会！#职场,06-11 19:20:29,20秒,--,--,68439,1675,686,Luo Yonghao
马上高考了，学历重要吗？听听罗老师怎么说。#高考,06-06 18:12:51,1分24秒,--,--,41917,1715,2554,Luo Yonghao
吃货主播罗永浩欲转型为穿搭主播？#抖音618好物节,06-05 20:21:38,19秒,--,--,18340,262,89,Luo Yonghao
罗老师沉浸式表演被按摩时的状态，这波操作你给几分？#抖音618好物节,06-05 18:31:26,20秒,--,--,24972,567,506,Luo Yonghao
绝对是你想象不到的低价！6月5日下午4点你一定要来！#抖音618好物节,06-05 15:39:12,22秒,--,--,3860,95,101,Luo Yonghao
我们公司的重要决策往往都很严谨…,06-04 16:39:47,24秒,--,--,107159,1819,1125,Luo Yonghao
,,,,,,,,
第一个为我#9月13中秋团媛破亿挑战 加油的是我们的做饭阿姨，阿姨说913一定要好好加油，成功了就画一幅专属于我的漫画送给我，期待！（我要讲述100个女性故事，她们都在为我的913加油）,08-31 20:30:01,2分30秒,--,--,176062,6988,6560,Liu Yuanyuan
看了这个视频后，我对“把整个公司搬去杭州“的心思动摇了。#9月13中秋团媛破亿挑战就是我的第一份答卷！能做成的事，不必纠结在哪里做成的！干就完了!,08-31 11:20:08,58秒,--,--,77897,2909,4766,Liu Yuanyuan
从图书垂类突破以后，我慢慢发现大家对产品都会有不一样的评价，所以为了我的#9月13中秋团媛破亿挑战 ，我想邀请你们做我的选品官。,08-31 08:00:00,1分59秒,--,--,23508,14995,350,Liu Yuanyuan
马上就要到#9月13中秋团媛破亿挑战 了，那天是爸爸的生日，我会拿出全部的诚意回馈支持我的朋友们，也希望爸爸以后每年的生日都可以开开心心。,08-30 20:43:55,1分37秒,--,--,25223,1370,354,Liu Yuanyuan
最近收到粉丝的信息，说看到了我在超级演说家的老师。假的！假的！假的！这个比赛已经过了4-5年了，没有背景，没有资源，只要足够努力，普通人也可以成功#9月13中秋团媛破亿挑战,08-30 15:00:00,2分1秒,--,--,61056,2521,795,Liu Yuanyuan
不知道这位儿子用自己的生日，成功解开母亲银行卡的那一刻，心里是什么心情....#9月13中秋团媛破亿挑战,08-29 21:20:12,1分51秒,--,--,54550,2296,2781,Liu Yuanyuan
#英语考试取消 这件事对于那些普通家庭来说其实是减负的，最惨的是家境一般但是想让孩子学英语的家庭......#9月13中秋团媛破亿挑战,08-29 18:35:18,2分25秒,--,--,133140,9727,26831,Liu Yuanyuan
同事在外租房，半夜有陌生男子推门而入，进来上厕所……,08-28 20:14:14,4分41秒,--,--,34003,1879,551,Liu Yuanyuan
我之前特别喜欢的一部剧，剧中的情节居然是作者自己的经历，人生不是电视剧，他现在也已经和过去和解了，我发现人只要人不断的往前走，就可以甩下所有的过去。#913中秋团圆宠粉节破亿挑战,08-28 07:40:00,2分25秒,--,--,160273,5975,8448,Liu Yuanyuan
当我家孩子使唤我的时候，我是这么跟他说的...#金牌育言家 #熊孩子都是怎样宠出来的,08-26 18:00:00,1分18秒,--,--,92187,3875,6715,Liu Yuanyuan
不好意思大家，我们公司的网络出了一些问题，处理一下马上开播，也非常感谢大家的暖心私信，我也会继续努力让自己变得更好。,08-26 12:07:02,40秒,--,--,42392,2105,792,Liu Yuanyuan
 3-12岁：你敢相信5岁的孩子就可以熟读三国吗？三国演义不仅是我们中国重要的文学作品，更是我们每个人应该掌握的基本常识，这套幼三国以连环画的方式讲述三国故事，每个孩子都应该去读一读。,08-26 07:40:00,1分53秒,512,152326,8646,396,438,Liu Yuanyuan
凡事过了就不是那个味道了，如果我们以暴制暴，我们就会成为自己最讨厌的人，请大家理性发声，共同净化网络环境。,08-23 00:24:27,52秒,--,--,560084,19469,5572,Liu Yuanyuan
这是一条4分半的视频，我为一位陌生女性发声，因为她是一个妈妈。最后那句话...我希望有些人背会了再上网。,08-22 07:40:00,4分11秒,--,--,3429780,165358,212322,Liu Yuanyuan
被生活压的再紧，也要留点时间给自己，去缓冲、去提升。而不是做那个忙碌又没用的人。,08-21 21:50:24,2分8秒,--,--,189585,7222,26816,Liu Yuanyuan
8-88岁：我看了很多版本的史记，这套史记的严谨和准确达到了一个新的高度，真的很值得去读！,08-21 07:40:00,1分8秒,2483,292994,25469,755,1084,Liu Yuanyuan
你们在生活中感觉自己活的累吗？学会掌握好这个与人相处的技巧，让你的生活变得轻松起来。#沟通,08-20 20:27:46,1分37秒,--,--,209368,8238,28731,Liu Yuanyuan
最近看到了这个男孩的故事，很有感触。如果你也在某些时候觉得自卑，这个视频应该可以帮到你#自信,08-20 10:06:16,1分27秒,--,--,96383,2067,5581,Liu Yuanyuan
回一位粉丝的私信：贫困带给我们的不只是伤痕，还有挣扎的经验。大家喜欢这个系列吗？欢迎你写信给我……,08-18 20:36:48,1分36秒,--,--,65343,2067,2118,Liu Yuanyuan
这是3-88岁都应该补充的奶制品，尤其家里有孩子的可以尝试一下，既补充营养又省事～,08-17 09:44:00,1分27秒,16889,1.929522e+06,81896,5231,6704,Liu Yuanyuan
我太感谢你们的支持了，那些对我不离不弃的观众们。还有公司的小伙伴，是大家在鞭策我前行。,08-17 07:00:00,1分41秒,--,--,35712,1919,1326,Liu Yuanyuan
上知天文，下知地理，全靠孩子房间里这两张神奇的地图！,08-16 07:40:00,1分19秒,22902,311797.20000000007,91104,2615,4318,Liu Yuanyuan
昨天那个发弹幕的粉丝，谢谢你的关心，我不觉得自己辛苦，并且很欣赏这样的我自己#直播,08-15 07:40:00,54秒,--,--,110183,5703,4593,Liu Yuanyuan
人生呢就像一辆列车，有人中途下车，我挥手道声再见。信任我的人，你是否愿意陪我下一程,08-14 21:10:54,1分56秒,--,--,97573,8396,1935,Liu Yuanyuan
别太焦虑了，接纳孩子的平凡，我大哥从高三开始学习，二哥毕业之后才发力，我也是高一找到学习感觉。品德兴趣更重要！,08-14 11:53:57,1分59秒,--,--,71172,2484,6826,Liu Yuanyuan
了解#霍尊陈露 事件的前因后果之后，我觉得这个结果并不是偶然...,08-12 20:33:52,1分24秒,--,--,234444,7698,37654,Liu Yuanyuan
七夕我把一个男的给骂了...然后我就收获了一束花,08-12 07:40:01,1分4秒,--,--,49746,1556,580,Liu Yuanyuan
#家人隐瞒孙颖莎奶奶去世消息 ，我是理解的..人生仿佛一道道选择题，它没有对错，只有两难......,08-11 07:40:01,1分35秒,--,--,70067,4804,970,Liu Yuanyuan
今天我收到一条私信，说我和一个博主的文案很像，为什么我和她的心里话都一样，让我解释一下。#抄袭,08-10 11:54:25,1分23秒,--,--,654844,28789,4293,Liu Yuanyuan
母亲是世界上最爱你的人，没有之一。以前有个品牌让我现场分享一个关于黄金的故事，我都不敢说，因为一定会哭出来,08-09 20:21:13,2分4秒,--,--,92298,5123,4030,Liu Yuanyuan
一款提高生活质量的好物，一年以后我终于给到了它的反馈 #电动牙刷,08-09 19:00:11,2分6秒,2269,639481,122172,2981,4550,Liu Yuanyuan
#这个七夕怎么过 如果你们过七夕也不知道送什么，一定要看完这条视频！,08-09 14:06:00,28秒,--,--,37634,1534,2179,Liu Yuanyuan
昨天你们居然叫我“抖音九妹”，我才不要做什么九妹，我要做一姐！！！,08-09 12:22:42,27秒,--,--,48285,2280,178,Liu Yuanyuan
现在找对象是看感觉还是看条件，我认为都不是！最近听道一句特别有道理的话，我想分享给大家...#情感,08-09 11:00:27,37秒,--,--,82491,3571,18606,Liu Yuanyuan
没有刷单，没有虚假数据，就这样在一年之内爬到了第九，从单一的品类走向更大的品类，只要我还努力着，那就值得期待！,08-08 20:17:49,2分,--,--,195006,7152,11421,Liu Yuanyuan
今天，我要给所有说我眉毛奇怪的人一次重新组织语言的机会#8月2日开始挑战连播18天,08-08 12:10:03,34秒,--,--,17738,1858,136,Liu Yuanyuan
这是我们家祖传的煎牛排秘方，一般人我可不告诉她....,08-08 09:42:57,22秒,--,--,9905,1146,279,Liu Yuanyuan
#啃老可耻 吗？说实话，在这个时代，只要孩子不是那种不求上进的，还是应该让孩子“啃”点老....,08-08 07:40:00,1分37秒,--,--,134053,8174,25792,Liu Yuanyuan
奥运小将#全红婵让我想起了当初的自己。激励我们的并不是穷， 而是为了自己爱的人去奋斗...#全红婵满分,08-07 07:40:01,2分6秒,--,--,237866,5742,33007,Liu Yuanyuan
学历高的人最后都过的很体面吗？其实也不全是，既然我很坚定的选择了这条路，我就会走下去，走到底！#励志,08-05 20:18:19,2分12秒,--,--,109698,6579,6433,Liu Yuanyuan
我之前也有一段时间沉迷打麻将，浪费了很多时间，想听一听我是怎么抽离的吗？#8月2日开始挑战连播18天,08-05 16:09:24,1分45秒,--,--,49901,1568,8620,Liu Yuanyuan
当热点不再是热点，过去的事已经过去，就请和过去的自己和解吧！#8月2日开始挑战连播18天,08-05 13:11:12,24秒,--,--,43594,1471,1641,Liu Yuanyuan
全球购专场，让奢侈品不再奢侈#8月2日开始挑战连播18天,08-05 11:07:46,27秒,--,--,11285,506,426,Liu Yuanyuan
今天想和大家分享个小秘密，可能会和你们平常看到的我不太一样...#8月2日开始挑战连播18天,08-05 10:12:39,32秒,--,--,24729,713,1228,Liu Yuanyuan
哪儿不舒服？进来找我唠唠！#包治百病,08-05 07:40:00,33秒,--,--,16034,846,302,Liu Yuanyuan
售后指南来啦！大家有订单问题可以按照媛媛说的这三种办法操作哦！#媛创读书会,08-05 00:40:00,1分11秒,--,--,26431,1204,928,Liu Yuanyuan
我的助播很可爱，工作也很用心。就是这性格..... .#8月2日开始挑战连播18天,08-02 14:48:49,41秒,--,--,16322,727,121,Liu Yuanyuan
今天我又重新开始挑战4w人同时在线了，你们说我能挑战成功吗？#8月2日开始挑战连播18天,08-02 13:17:58,20秒,--,--,32504,990,544,Liu Yuanyuan
选卫生巾别只图听过名字了！国产品牌站起来了！#8月2日开始挑战连播18天,08-02 12:18:49,2分46秒,--,--,1443,181,51,Liu Yuanyuan
哪有什么准备好的时候，最好的时候就是现在开始！！！#8月2日开始挑战连播18天,08-02 10:59:15,15秒,--,--,19860,372,352,Liu Yuanyuan
大家昨天都忙到很晚才休息，我这刚下来准备眯一会，我的小助理们就找不到我了...#8月2日开始挑战连播18天,08-02 07:40:00,20秒,--,--,15645,442,102,Liu Yuanyuan
以后我们就要一起工作了，希望可以越做越好。你们会看好我俩这对组合吗？#8月2日开始挑战连播18天,08-01 18:02:56,1分59秒,--,--,61524,3165,1173,Liu Yuanyuan
创业很艰难，但每一步都走的很踏实，公司很乱！因为太忙了，又该找新的地方了...#8月2日开始挑战连播18天,08-01 12:01:26,3分15秒,--,--,92095,4370,2535,Liu Yuanyuan
#8月2日开始挑战连播18天  #沉浸式凡尔赛 今天公司到了很多东西，让我也来凡尔赛一下。,07-31 19:51:23,22秒,--,--,11053,888,86,Liu Yuanyuan
来吧，展示！#8月2日开始挑战连播18天,07-31 12:28:41,23秒,--,--,8046,535,68,Liu Yuanyuan
谁都不可能被所有人喜欢，对于那些不喜欢我又必须告诉我的人，我一般这么回应！#8月2日开始挑战连播18天,07-31 07:30:00,40秒,--,--,105533,10141,4298,Liu Yuanyuan
为什么有些人，说话就是让人们很舒服？也许这就是答案……#8月2日开始挑战连播18天,07-30 21:07:42,2分12秒,--,--,318147,10005,42375,Liu Yuanyuan
#8月2日开始挑战连播18天 大家想看啥？让我从评论里找找灵感！,07-30 20:30:19,22秒,--,--,15657,1329,81,Liu Yuanyuan
这堵“手机墙”我已经垒了三天了，每次到一半就倒了，不知道别人家都是怎么垒起来的#8月2日开始挑战连播18天,07-30 08:12:23,16秒,--,--,23415,3641,126,Liu Yuanyuan
#8月2日开始挑战连播18天 两个月没回家了，感觉像别人家似的哈哈，这2年过的忙碌又充实，感谢不偷懒的自己……,07-29 20:18:01,1分5秒,--,--,93801,3703,6827,Liu Yuanyuan
我是一个很不听话的孩子，但是我妈还挺为我骄傲的，我觉得真正厉害的人是我妈...,07-28 20:35:38,1分45秒,--,--,89486,2876,8860,Liu Yuanyuan
上次我挑战在线4W人失败了，还有人一直来嘲笑我？但是我还是会继续挑战，继续朝着那个目标努力的！！！#励志,07-27 07:00:00,2分28秒,--,--,37603,1754,2186,Liu Yuanyuan
有没有人和我一样看#国球乒乓比赛的！看着是又气愤又心疼...,07-26 23:06:03,1分41秒,--,--,103125,3692,2736,Liu Yuanyuan
今天终于去#鸿星尔克 店里了。不能带货鸿星尔克，咱们就去买两件支持一下！,07-26 21:37:59,1分26秒,--,--,58341,2290,781,Liu Yuanyuan
鸿星尔克老板这段话太有水平了！我已经点收藏了...我们一起来学习一下??,07-26 07:00:00,1分13秒,--,--,1157833,25389,36436,Liu Yuanyuan
今天看到很多东京奥运会中国夺金的消息，很激动，很自豪，其中这个被淘汰了的老将令为记忆尤为深刻...#奥运会,07-25 07:00:00,2分21秒,--,--,31937,792,897,Liu Yuanyuan
当时看到汶川那个故事，一下泪崩。我们都是凡人，也会有私心，但因为都是中国人，就一定会伸出援手，帮助其他中国人！,07-23 22:17:51,1分42秒,--,--,2191831,67145,112222,Liu Yuanyuan
弄了一天这些物资，晚上找车找不着的时候碰见这俩货车小哥，太感动了，有些人的付出，连说都说不出来...#郑州暴雨,07-23 07:13:02,1分56秒,--,--,694460,21638,2593,Liu Yuanyuan
这是三段大家都应该记在心中的故事。正是因为有人但行好事，不问前程。你我才有了光明的前程......,07-22 07:00:01,2分21秒,--,--,1995724,43871,116712,Liu Yuanyuan
听说下一个强降雨地方有我们老家了，做好长期准备，水灾一般伴随着瘟疫等各种难题，加油?? 人定胜天#河南暴雨互助,07-21 14:36:17,1分48秒,--,--,45849,2219,1078,Liu Yuanyuan
"每当有人问我累不累时，我是这样回答的,,,,,,",07-20 19:53:19,1分34秒,--,--,193294,9548,15298,Liu Yuanyuan
很多粉丝都好奇我一年到底能赚多少钱，今天我想回答一下这个问题...,07-20 10:25:00,1分48秒,--,--,214060,9296,26503,Liu Yuanyuan
今天的我希望能有一个新的突破，感谢大家的支持！,07-20 09:09:00,16秒,--,--,59689,1604,614,Liu Yuanyuan
我已经成为抖音500强啦！小伙伴们请跟紧我，毕竟就目前这个排名随时会掉下来哈哈,07-19 07:00:01,1分31秒,--,--,56891,3038,1519,Liu Yuanyuan
分享一下这两天的烦心事，如果是你遇到这种事，你会怎么做？,07-18 20:48:23,1分40秒,--,--,58488,29221,1378,Liu Yuanyuan
知道这个冷知识你也算来过济南了。答应我一定要看到最后的“彩蛋”...科普时有多优雅，结尾就有多狼狈哈哈哈,07-17 07:40:00,1分49秒,--,--,31419,2401,1043,Liu Yuanyuan
只顾着往家里堆书，堆完了孩子也不看，你有没有想过是你做错了...#抖音全民好书计划,07-16 09:00:00,1分15秒,--,--,35432,1103,6259,Liu Yuanyuan
2-15岁：在图书博览会的第一天，我发现了一套“王炸”成语故事，这套书让你的孩子真正驾驭成语#抖音全民好书计划,07-16 07:40:01,1分34秒,2259,396515,19800,777,777,Liu Yuanyuan
据我观察，公司里搞“小团体”的。和学生时代“拉帮结派”的人，最后混的都很差……,07-15 20:22:44,58秒,--,--,70237,1751,7954,Liu Yuanyuan
5—12岁：你的孩子是不是也觉得数学枯燥？这套书让你的孩子和数学来一场破冰之旅。  #抖音全民好书计划,07-15 09:00:03,56秒,2875,227125,33186,1358,1762,Liu Yuanyuan
凌晨抵达山东，看我谈下来的书摆在哪！全是c位！来吧妈妈们，这些书今天不囤更待何时！ #抖音全民好书计划,07-15 07:40:01,32秒,--,--,15661,66,283,Liu Yuanyuan
原来直间播，还有这种“手速”的人，一次抢到几十单1元的····我终于找到了大家都抢不到浮力的原因...,07-13 22:52:40,1分21秒,--,--,19167,2675,340,Liu Yuanyuan
连续播了8个半小时后，虽然并没没有完成任务，但是还是很开心有了新的突破。,07-12 20:40:41,49秒,--,--,22244,1257,578,Liu Yuanyuan
我的创业故事还在继续，和你们一样，我也在期待以后的我会奋斗出怎样的故事...#创业 #励志,07-12 19:17:31,2分11秒,--,--,67775,2904,8147,Liu Yuanyuan
你们猜我拿人生的第一桶金去做了什么？和很多人想做的事情都一样...#创业 #励志,07-12 17:42:16,1分42秒,--,--,46154,1572,4880,Liu Yuanyuan
出生在一个不流行创业的地方，创业6年，从负债300万到月销量8000万...#创业 #励志,07-12 12:48:43,2分3秒,--,--,408576,21355,38428,Liu Yuanyuan
对于所有质疑的评论，我认为是一种期待，就像我也期待自己一年后的表现一样。,07-12 08:31:18,1分41秒,--,--,112008,6831,2285,Liu Yuanyuan
小的时候我的梦想写在本子上，现在的梦想写在营业执照上，一生很短，如果没办法做很多，那我就想很多。,07-12 07:50:00,48秒,--,--,31145,1771,696,Liu Yuanyuan
孩子总是伤害自己最亲近的人，过后又感觉到愧疚...所有的娃可能都是这样长大的吧,07-11 15:06:54,2分3秒,--,--,59005,2713,2767,Liu Yuanyuan
趁着公司庆典买服装的机会，逛了个街。顺便给大家对比一下不同档次的两个常见品牌的衣服，我有一些小感悟......,07-10 20:45:37,2分39秒,--,--,34519,2304,2115,Liu Yuanyuan
如果是你， 你愿意签这个字吗？你会选择LH还是和老公一起还zhai？这道考题，可以考验你和另一半的感情....,07-10 07:00:00,1分57秒,--,--,224896,12050,44358,Liu Yuanyuan
打算拍100所名校给大家看，拍完武大，同事都说想再回去读一遍高三，希望这所学校带给孩子们动力，看到大学的美好。,07-09 21:33:08,1分59秒,--,--,90222,2946,10991,Liu Yuanyuan
5-15岁:孩子只爱看图不爱看字吗，那是因为你没选好过渡的书，这套适合孩子的大侦探福尔摩斯，哪个孩子会不爱呢,07-09 07:00:01,1分35秒,880,251183,48468,2339,2188,Liu Yuanyuan
7—10岁是孩子习惯养成的关键时期。妈妈唠叨百遍，不如孩子想通一遍。这套书，抓住 #暑假好时机，让孩子读起来！,07-08 07:00:00,1分27秒,743,51267,12828,466,933,Liu Yuanyuan
开始我以为，是这位粉丝幸运。后来我才知道，一切都是有原因的……,07-06 21:25:46,2分21秒,--,--,107969,3070,691,Liu Yuanyuan
谁都想象不到，这样一个小举动，可能会影响孩子的一生……,07-05 21:56:34,1分45秒,--,--,97535,1971,10314,Liu Yuanyuan
5-15岁孩子：从小看资治通鉴，培养 #领导力，让孩子成为领袖型人才......,07-05 07:00:00,1分13秒,299,29601,44634,1047,2817,Liu Yuanyuan
孩子不想写暑假作业，建议带孩子去这三个地方看看......#刘媛媛7月12号公司成立6周年浮力场,07-04 21:59:12,1分55秒,--,--,185181,5611,36740,Liu Yuanyuan
你说你为了家什么都肯做，但是却不幸福……也许这就是原因,07-03 21:47:12,1分22秒,--,--,197332,8382,28877,Liu Yuanyuan
 #知识创作人 活动开始啦，每个领域都有专属任务，我已经参与了，你也快来吧！,07-03 08:00:00,19秒,--,--,30541,991,896,Liu Yuanyuan
再次重新介绍一下自己，因为又有了新成绩。而这次成绩，是因为有你们……#刘媛媛千万粉丝感恩专场,07-02 21:27:20,58秒,--,--,661805,16528,15230,Liu Yuanyuan
自行车和手机已经搞定一批了，今晚继续！已经?????的快去填信息啊！别错过了！,07-02 20:02:08,31秒,--,--,10333,506,74,Liu Yuanyuan
2年以来感谢大家相信我，跟我买书！今天是我回馈大家的时候啦#刘媛媛千万粉丝感恩专场,07-02 10:35:34,59秒,--,--,35463,1458,438,Liu Yuanyuan
#刘媛媛千万粉丝感恩专场我想给你们这款温暖但是又很便宜的台灯，智能的台灯可以帮助孩子学习，还能照亮孩子的书桌,07-02 08:30:00,1分2秒,62,10478,22350,937,639,Liu Yuanyuan
